year_built,area,url,price,bedrooms,postal_code,rooms,address,property_type
1967,97,http://www.funda.nl/koop/amsterdam/appartement-49702047-ruimzicht-24/,200.0,3,1068 CL,4,Ruimzicht 24,apartment
1871,112,http://www.funda.nl/koop/amsterdam/appartement-49864576-marnixkade-30-iii/,599.0,3,1015 XP,4,Marnixkade 30 III,apartment
2008,271,http://www.funda.nl/koop/amsterdam/appartement-49780255-willem-van-weldammelaan-81/,1.85,4,1082 KT,5,Willem van Weldammelaan 81,apartment
2008,87,http://www.funda.nl/koop/amsterdam/appartement-49881246-jan-evertsenstraat-649/,265.0,2,1061 XZ,3,Jan Evertsenstraat 649,apartment
2007,96,http://www.funda.nl/koop/amsterdam/appartement-49879484-pieter-van-der-werfstraat-207/,259.0,3,1067 EM,4,Pieter van der Werfstraat 207,apartment
2006,102,http://www.funda.nl/koop/amsterdam/appartement-49875900-anna-blamansingel-244/,239.5,2,1102 SX,3,Anna Blamansingel 244,apartment
1956,69,http://www.funda.nl/koop/amsterdam/appartement-49882277-ariana-nozemanstraat-5-ii/,200.0,3,1065 TP,4,Ariana Nozemanstraat 5 II,apartment
2005,85,http://www.funda.nl/koop/amsterdam/appartement-49895492-clauskindereweg-55/,215.0,2,1069 HN,3,Clauskindereweg 55,apartment
2009,103,http://www.funda.nl/koop/amsterdam/appartement-49856606-ijburglaan-849/,300.0,2,1087 EN,3,IJburglaan 849,apartment
1997,90,http://www.funda.nl/koop/amsterdam/appartement-49891271-krijn-breurstraat-39/,249.0,2,1064 SX,3,Krijn Breurstraat 39,apartment
1990,142,http://www.funda.nl/koop/amsterdam/appartement-49890587-alexanderkade-127/,699.0,3,1018 ZC,4,Alexanderkade 127,apartment
1984,72,http://www.funda.nl/koop/amsterdam/appartement-49883420-kolfschotenstraat-56/,125.0,2,1104 PA,3,Kolfschotenstraat 56,apartment
1897,92,http://www.funda.nl/koop/amsterdam/appartement-49893748-ceintuurbaan-424-ii-iii/,575.0,2,1074 EB,3,Ceintuurbaan 424 II/III,apartment
1994,82,http://www.funda.nl/koop/amsterdam/appartement-49893428-zoutberg-10/,225.0,3,1035 KS,4,Zoutberg 10,apartment
1905,81,http://www.funda.nl/koop/amsterdam/appartement-49894414-elisabeth-wolffstraat-71-1/,375.0,3,1053 TT,4,Elisabeth Wolffstraat 71 1,apartment
1977,62,http://www.funda.nl/koop/amsterdam/appartement-49805293-voordek-25/,175.0,1,1034 ST,2,Voordek 25,apartment
2005,52,http://www.funda.nl/koop/amsterdam/appartement-49807660-rustenburgerstraat-144-a14/,315.0,2,1073 GJ,3,Rustenburgerstraat 144 A14,apartment
2005,52,http://www.funda.nl/koop/amsterdam/appartement-49807714-rustenburgerstraat-144-a14-pp/,350.0,2,1073 GJ,3,Rustenburgerstraat 144 A14+PP,apartment
